seed,model,accuracy,move_forward,slight_right_turn,sharp_right_turn,slight_left_turn
1,ada,0.646843549862763,0.5742296918767507,0.75,0.8098591549295775,0.6410256410256411
1,pl,0.6642268984446478,0.7276995305164319,0.734375,0.6049382716049383,0.7222222222222222
1,lmq,0.6440988106129918,0.6632653061224489,0.6363636363636364,0.6189591078066915,0.8571428571428571
1,mlp,0.9460201280878316,0.9450800915331807,0.9741935483870968,0.9422632794457275,0.9117647058823529
2,ada,0.6886446886446886,0.7078891257995735,0.9767441860465116,0.649706457925636,0.6666666666666666
2,pl,0.6886446886446886,0.7383177570093458,0.8085106382978723,0.625,0.8333333333333334
2,lmq,0.6501831501831502,0.6686991869918699,0.7021276595744681,0.6224299065420561,0.8333333333333334
2,mlp,0.9294871794871795,0.9157427937915743,0.9053254437869822,0.9506172839506173,0.9552238805970149
3,ada,0.63003663003663,0.8013698630136986,0.5844155844155844,0.5532846715328467,0.7894736842105263
3,pl,0.6364468864468864,0.7380952380952381,0.7407407407407407,0.5673652694610778,0.8947368421052632
3,lmq,0.6465201465201466,0.6619718309859155,0.6140350877192983,0.6266924564796905,0.8571428571428571
3,mlp,0.9267399267399268,0.9057017543859649,0.925,0.9514563106796117,0.921875
4,ada,0.7032967032967034,0.7017892644135189,0.7840909090909091,0.6971677559912854,0.6190476190476191
4,pl,0.7252747252747253,0.6998158379373849,0.7279411764705882,0.7845303867403315,0.5686274509803921
4,lmq,0.6291208791208791,0.6659619450317125,0.6595744680851063,0.5913978494623656,0.7857142857142857
4,mlp,0.9322344322344323,0.9354838709677419,0.9047619047619048,0.9422632794457275,0.9122807017543859
5,ada,0.706959706959707,0.7292576419213974,0.7764705882352941,0.6954732510288066,0.5396825396825397
5,pl,0.7014652014652014,0.7320261437908496,0.7128712871287128,0.6872427983539094,0.5217391304347826
5,lmq,0.6657509157509157,0.679920477137177,0.6206896551724138,0.6593625498007968,0.6206896551724138
5,mlp,0.9313186813186813,0.9148471615720524,0.9473684210526315,0.9571428571428572,0.8387096774193549
6,ada,0.6822344322344323,0.6494661921708185,0.7702702702702703,0.7018348623853211,0.85
6,pl,0.6648351648351648,0.6402753872633391,0.723404255319149,0.6993006993006993,0.5714285714285714
6,lmq,0.6346153846153846,0.6633266533066132,0.5681818181818182,0.6096654275092936,0.8181818181818182
6,mlp,0.9184981684981685,0.8760330578512396,0.9387755102040817,0.970074812967581,0.8666666666666667
7,ada,0.6660567246111619,0.6360360360360361,0.9090909090909091,0.6780383795309168,0.75
7,pl,0.6843549862763038,0.687374749498998,0.7142857142857143,0.6779324055666004,0.6904761904761905
7,lmq,0.6596523330283623,0.6845238095238095,0.7560975609756098,0.6278625954198473,0.6666666666666666
7,mlp,0.9313815187557182,0.910913140311804,0.9354838709677419,0.9507042253521126,0.9365079365079365
8,ada,0.6742909423604757,0.8409893992932862,0.6953125,0.5954323001631321,0.6521739130434783
8,pl,0.666971637694419,0.8315789473684211,0.6125,0.5944170771756979,0.8205128205128205
8,lmq,0.6797804208600183,0.7069672131147541,0.7555555555555555,0.6407407407407407,0.9
8,mlp,0.9332113449222323,0.9559902200488998,0.8870056497175142,0.9290617848970252,0.9428571428571428
9,ada,0.6904761904761905,0.7700831024930748,0.5445544554455446,0.684322033898305,0.7543859649122807
9,pl,0.6794871794871795,0.7546666666666667,0.5393258426966292,0.6772823779193206,0.6470588235294118
9,lmq,0.6492673992673993,0.6728016359918201,0.6595744680851063,0.6210720887245841,0.8666666666666667
9,mlp,0.9258241758241759,0.9153318077803204,0.8765432098765432,0.9594272076372315,0.9054054054054054
10,ada,0.6980786825251601,0.7659574468085106,0.5333333333333333,0.7276995305164319,0.6818181818181818
10,pl,0.7063129002744739,0.653448275862069,0.8939393939393939,0.7380952380952381,0.8888888888888888
10,lmq,0.6678865507776761,0.6989690721649484,0.6792452830188679,0.6351851851851852,0.8
10,mlp,0.9277218664226898,0.9130434782608695,0.874251497005988,0.961352657004831,0.9466666666666667
